age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
61.0,Private For-Profit,Master's degree,Married,Marketing Managers,New York,Reference person,45.0,Male,White,True
23.0,State Government,Bachelor's degree,Separated,Unknown,TEXAS,Son-in-law or daughter-in-law,40.0,Female,Other Race,False
53.0,Private For-Profit,GED or alternative credential,Married,Managers,Texas,Reference person,50.0,Male,White,True
32.0,Private For-Profit,Bachelor's degree,Never married,Registered Nurses,New York,Reference person,40.0,Female,White,True
56.0,Private For-Profit,regular high school diploma,Married,,Arkansas,Husband/wife,40.0,Female,White,False
60.0,Self-Employed (Not Inc.),No schooling completed,Widowed,Landscaping And Groundskeeping Workers,Mexico,Reference person,40.0,M,White,False
30.0,Private For-Profit,Bachelor's degree,Married,Actuaries,georgia,Reference person,55.0,Male,White,True
36.0,Private For-Profit,Bachelor's degree,Married,Web Developers,TEXAS,Husband/wife,50.0,Male,White,True
57.0,Private For-Profit,Regular high school diploma,Never married,"Shipping, Receiving, And Inventory Clerks",New York,Other relative,35.0,Male,White,False
27.0,Private For-Profit,Master's degree,Married,Postsecondary Teachers,TEXAS,Husband/wife,12.0,Female,White,False
45.0,Self-Employed (Inc.),Doctorate degree,Married,Physicians,Maryland,Reference person,45.0,Male,White,True
20.0,Private Non-Profit,"Some college, but less than 1 year",Never married,Miscellaneous Plant And System Operators,MICHIGAN,Noninstitutionalized group quarters population,40.0,m,White,False
56.0,Self-Employed (Not Inc.),Master's degree,Married,"Architects, Except Landscape And Naval",china,Husband/wife,60.0,Male,Asian,True
18.0,Private For-Profit,regular high school diploma,Never married,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",Georgia,Noninstitutionalized group quarters population,30.0,Female,White,False
45.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Food Preparation And Serving Workers,South Africa,Husband/wife,30.0,Female,White,False
54.0,,BACHELOR'S DEGREE,Married,Unknown,Maryland,brother or sister,40.0,Male,White,True
50.0,Private For-Profit,Regular high school diploma,Never married,Nursing Assistants,JAMAICA,Unmarried partner,,Female,Black,False
44.0,Private For-Profit,Grade 10,Married,First-Line Supervisors Of Retail Sales Workers,Louisiana,Husband/wife,48.0,Female,White,False
999.0,State Government,Bachelor's degree,Married,Human Resources Managers,Arizona,Husband/wife,45.0,Female,White,True
45.0,Local Government,Regular high school diploma,Married,Ship And Boat Captains And Operators,LOUISIANA,Reference person,40.0,Male,White,False
74.0,Private Non-Profit,Master's degree,Married,Social And Community Service Managers,Pennsylvania,Reference person,32.0,m,White,True
28.0,Private For-Profit,Regular high school diploma,Never married,Stockers And Order Fillers,California,Other relative,20.0,Female,Black,False
60.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Married,Artists And Related Workers,WASHINGTON,husband/wife,10.0,Female,White,False
52.0,Self-Employed (Inc.),Bachelor's degree,Married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Minnesota,Reference person,40.0,Male,White,True
21.0,Private For-Profit,Regular high school diploma,Married,Waiters And Waitresses,California,Reference person,40.0,Female,White,False
33.0,Private For-Profit,Bachelor's degree,Never married,Computer Support Specialists,Illinois,Unmarried partner,40.0,Female,White,True
58.0,Private For-Profit,Bachelor's degree,Married,"Claims Adjusters, Appraisers, Examiners, And Investigators",Michigan,Husband/wife,45.0,Female,White,True
55.0,Self-Employed (Not Inc.),"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,Unknown,Ohio,Husband/wife,50.0,Male,White,True
40.0,Self-Employed (Not Inc.),Regular high school diploma,Married,Plasterers And Stucco Masons,wyoming,Husband/wife,50.0,Male,White,False
55.0,Private For-Profit,Regular high school diploma,Married,File Clerks,Ohio,Husband/wife,24.0,Female,White,False
32.0,Federal Government,Bachelor's degree,Married,First-Line Enlisted Military Supervisors,Missouri,Reference person,50.0,Male,White,True
47.0,,ASSOCIATE'S DEGREE,Married,,Louisiana,Reference person,40.0,Female,blk,True
60.0,Private For-Profit,"Some college, but less than 1 year",Married,Bus And Truck Mechanics And Diesel Engine Specialists,Utah,Husband/wife,40.0,M,White,True
59.0,Private For-Profit,BACHELOR'S DEGREE,Married,Registered Nurses,Michigan,Husband/wife,38.0,Male,White,True
34.0,Private For-Profit,Bachelor's degree,Never married,Teachers and Instructors,Ohio,Reference person,40.0,Female,Black,False
54.0,Private For-Profit,"Some college, but less than 1 year",Married,Driver/Sales Workers And Truck Drivers,North Carolina,reference person,,Male,White,False
,Private For-Profit,"Some college, but less than 1 year",Widowed,Driver/Sales Workers And Truck Drivers,Nebraska,Reference person,10.0,Male,White,False
45.0,Private For-Profit,"One or more years of college credit, no degree",Married,Sales Managers,Ohio,Husband/wife,40.0,Male,White,True
73.0,Self-Employed (Inc.),"Some college, but less than 1 year",Married,Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics,Wisconsin,Husband/wife,50.0,Male,White,True
29.0,Private For-Profit,"Some college, but less than 1 year",Married,Janitors And Building Cleaners,Illinois,Husband/wife,35.0,Male,Black,False
53.0,Local Government,Master's degree,Never married,Medical And Health Services Managers,Michigan,Reference person,45.0,Female,White,True
45.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,Customer Service Representatives,Alabama,Reference person,39.0,Male,White,False
65.0,State Government,Bachelor's degree,Married,Medical And Health Services Managers,New York,Reference person,35.0,Female,White,True
26.0,Private For-Profit,Associate's degree,Never married,"Sales And Related Workers, All Other",Georgia,Reference person,50.0,Male,White,True
28.0,Private For-Profit,"One or more years of college credit, no degree",Married,Industrial Production Managers,Pennsylvania,Reference person,50.0,Male,White,True
53.0,Private For-Profit,master's degree,Married,Waiters And Waitresses,Russia,Husband/wife,200.0,Female,White,True
52.0,Self-Employed (Not Inc.),bachelor's degree,Divorced,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Washington,Reference person,80.0,Male,White,True
18.0,Private For-Profit,Grade 11,Never married,Paralegals And Legal Assistants,North Carolina,Biological son or daughter,12.0,Female,White,False
35.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Business Operations Specialists, All Other",ILLINOIS,Reference person,40.0,Male,White,False
47.0,Private Non-Profit,"One or more years of college credit, no degree",Married,,Michigan,Reference person,40.0,Female,wht,False
52.0,Private For-Profit,Associate's degree,Separated,Customer Service Representatives,Ohio,Reference person,40.0,Male,White,False
19.0,Self-Employed (Not Inc.),Regular high school diploma,Never married,Landscaping And Groundskeeping Workers,Kentucky,Biological son or daughter,70.0,Male,White,False
28.0,Private For-Profit,Regular high school diploma,Never married,,Pennsylvania,Reference person,50.0,Male,White,False
29.0,,Master's degree,Never married,Medical And Health Services Managers,New York,Reference person,40.0,Female,Black,False
72.0,Private For-Profit,Bachelor's degree,Divorced,Cashiers,Connecticut,Reference person,32.0,Female,White,False
61.0,State Government,Professional degree beyond a bachelor's degree,Married,Managers,New York,Husband/wife,24.0,Female,White,False
38.0,Local Government,Bachelor's degree,married,Special Education Teachers,Rhode Island,Husband/wife,45.0,Male,White,True
43.0,Private For-Profit,Regular high school diploma,Married,Unknown,Utah,Husband/wife,,male,White,True
27.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Home Health Aides,Dominican Republic,Reference person,50.0,Female,Black,False
50.0,Self-Employed (Not Inc.),Regular high school diploma,Divorced,"Hairdressers, Hairstylists, And Cosmetologists",Texas,Unmarried partner,36.0,Female,White,False
,Private For-Profit,Bachelor's degree,Married,Retail Salespersons,Missouri,Husband/wife,50.0,m,White,True
39.0,Private For-Profit,Bachelor's degree,Never married,"Bookkeeping, Accounting, And Auditing Clerks",Arizona,Biological son or daughter,20.0,Female,White,False
22.0,Private Non-Profit,Bachelor's degree,Never married,,WASHINGTON,Biological son or daughter,20.0,Male,White,False
55.0,Local Government,associate's degree,Married,Driver/Sales Workers And Truck Drivers,alabama,Husband/wife,40.0,Male,Black,False
59.0,,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,First-Line Supervisors Of Construction Trades And Extraction Workers,Illinois,Reference person,60.0,Male,White,True
26.0,Private For-Profit,GED OR ALTERNATIVE CREDENTIAL,Never married,"Maintenance And Repair Workers, General",Arizona,institutionalized group quarters population,40.0,Male,Other Race,False
61.0,Private For-Profit,Regular high school diploma,Married,Carpenters,Jamaica,Reference person,40.0,Male,Black,True
58.0,Private For-Profit,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,Accountants And Auditors,Connecticut,Other relative,45.0,Male,White,True
,Private For-Profit,Associate's degree,Divorced,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",ALABAMA,Reference person,200.0,Female,Black,False
27.0,Private For-Profit,Bachelor's degree,Never married,,New York,Reference person,45.0,Female,White,True
20.0,Local Government,"One or more years of college credit, no degree",Never married,Tutors,CALIFORNIA,Housemate or roommate,15.0,Female,Asian,False
36.0,,Bachelor's degree,Married,,Dominican Republic,Reference person,50.0,Male,Two or More Race,False
-5.0,Private For-Profit,Associate's degree,Never married,Driver/Sales Workers And Truck Drivers,India,Biological son or daughter,24.0,Male,Asian,False
59.0,Private For-Profit,Associate's degree,Married,Gambling Services Workers,New Jersey,Reference person,38.0,Male,Black,False
55.0,Private For-Profit,Grade 9,Divorced,,China,Housemate or roommate,40.0,Male,Asian,True
23.0,Local Government,Bachelor's degree,Married,Childcare Workers,Arizona,Grandchild,40.0,Female,American Indian,False
30.0,Private For-Profit,"one or more years of college credit, no degree",Divorced,"Textile, Apparel, And Furnishings Workers",Georgia,Institutionalized group quarters population,40.0,Female,White,False
48.0,Private For-Profit,Master's degree,Married,Unknown,Illinois,reference person,25.0,Male,White,False
75.0,Self-Employed (Inc.),"Some college, but less than 1 year",Married,Accountants And Auditors,Texas,Reference person,15.0,Female,White,True
64.0,Self-Employed (Not Inc.),Bachelor's degree,Married,Teachers and Instructors,Pennsylvania,Reference person,18.0,Male,White,True
31.0,Private For-Profit,Regular high school diploma,never married,"Laborers And Freight, Stock, And Material Movers, Hand",California,Biological son or daughter,,Male,White,False
69.0,State Government,Master's degree,Married,Postsecondary Teachers,Greece,husband/wife,45.0,Female,wht,True
50.0,Private Non-Profit,Bachelor's degree,Married,Pharmacists,Washington,Reference person,40.0,Female,White,True
40.0,Private For-Profit,Bachelor's degree,Married,,Illinois,reference person,50.0,Female,White,True
47.0,Private For-Profit,"One or more years of college credit, no degree",Married,Occupational Health And Safety Specialists and Technicians,WASHINGTON,Reference person,40.0,Male,White,False
34.0,Federal Government,"one or more years of college credit, no degree",Never married,Security Guards And Gaming Surveillance Officers,New York,Reference person,40.0,Male,Black,True
29.0,Private For-Profit,Regular high school diploma,Never married,Gambling Services Workers,California,Reference person,41.0,Male,Two or More Race,True
49.0,Private For-Profit,"One or more years of college credit, no degree",Married,Graphic Designers,Arizona,Husband/wife,40.0,Female,White,False
33.0,Self-Employed (Inc.),Regular high school diploma,Married,Maids And Housekeeping Cleaners,Mexico,reference person,35.0,F,White,False
43.0,Self-Employed (Inc.),Associate's degree,Married,First-Line Supervisors Of Retail Sales Workers,Jamaica,Husband/wife,60.0,F,Black,False
,Private For-Profit,Grade 3,Never married,"Laborers And Freight, Stock, And Material Movers, Hand",New York,reference person,8.0,Female,White,False
64.0,Private Non-Profit,Bachelor's degree,Married,Janitors And Building Cleaners,Massachusetts,Reference person,3.0,Female,White,False
999.0,Private For-Profit,"one or more years of college credit, no degree",Never married,Credit Counselors And Loan Officers,Mexico,Roomer or boarder,40.0,Male,Other Race,True
24.0,Private For-Profit,associate's degree,Never married,Assemblers And Fabricators,Pennsylvania,Biological son or daughter,40.0,Male,White,False
62.0,Self-Employed (Not Inc.),Associate's degree,Divorced,Painters and Paperhangers,Virginia/VA,Reference person,30.0,Female,White,True
50.0,Private For-Profit,Bachelor's degree,Married,Accountants And Auditors,NEW YORK,husband/wife,200.0,Male,White,True
